COD,PRODUS,COMANDA F,TR CI,Cinema,VZ CI,TR CR,Crisan,VZ CR,DEPOZIT,EXP,TR GA,Gara,VZ GA,TR PR,Progresu,VZ PR,TR ST,Steaua,VZ ST,TR ZA,Zahana,VZ ZA,TOTAL,VZ 1,VZ 6
000378,RECAS SCHWABEN WEIN 750ML ROZE DEMIDULCE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000379,VIN CASTEL HUNIADE 750ML ROZE DEMISEC,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000380,VIN CASTEL HUNIADE 750ML RIESLING SEC,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000381,VIN CASTEL HUNIADE 750ML FETEASCA REGALA DEMISEC,,,0,0,,0,0,0,,,-1,0,,0,0,,0,0,,1,0,0,0,
000382,VIN CASTEL HUNIADE 750ML CHARDONNAY DEMIDULCE,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
000383,VIN CASTEL HUNIADE 750ML MERLOT/PINOT NOIR DD,,,0,0,,0,0,0,,,2,0,,0,0,,0,0,,3,1,5,1,
000384,VIN CASTEL HUNIADE 750NL CABERNET SAUVIGNON ALB/ROSU SEC,,,0,0,,3,0,0,,,0,0,,0,0,,0,0,,0,0,3,0,
000389,BERE CIUCAS 1L,,,0,0,,0,0,0,,,0,0,,-3,0,,0,0,,-1,0,-4,0,
001040,COTNARI 1.5L ETICHETA GALBENA ROSU DS,,,0,0,,0,0,0,,,-3,0,,0,0,,1,0,,0,0,-2,0,
001494,SCHWEPPES 0.33L DOZA TONIC WATER,,,0,0,,-1,0,0,,,0,0,,0,0,,0,0,,0,0,-1,0,
001495,SCHWEPPES 0.33L DOZA BITTER LEMON,,,0,0,,0,0,3,,,1,0,,0,0,,0,0,,-3,0,1,0,
001645,MONSTER ENERGY 500ML ULTRA ZERO,,,0,0,,0,0,0,,,2,0,,0,0,,0,0,,0,0,2,0,
001657,BERE NEUMARKT 2.5L,,,0,0,,0,0,0,,,0,0,,-1,0,,0,0,,0,0,-1,0,
001993,VIN CASTEL HUNIADE 750ML MERLOT DEMISEC,,,0,0,,7,0,0,,,0,0,,0,0,,0,0,,0,0,7,0,
002010,ROCKSTAR ENERGY DRINK 250ML ORIGINAL,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
002975,BERE CORONA EXTRA 355ML BLONDA PASTEURIZATA ST,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
003021,COCA COLA 1.25L,,,0,0,,0,0,1,,,0,0,,0,0,,0,0,,0,0,1,0,
003022,COCA COLA 1.25L ZERO,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
003023,FANTA 1.25L MADNESS CU GUST DE STRUGURI,,,0,0,,0,0,-22,,,1,0,,-1,0,,0,0,,0,0,-22,0,
003024,FANTA 1.25L PORTOCALE,,,0,0,,0,0,1,,,-1,0,,0,0,,0,0,,0,0,0,0,
004000,BERE STRONGBOW  330ML RED BERRIES STICLA,,,0,0,,0,0,1,,,0,0,,0,0,,0,0,,0,0,1,0,
004003,BERE TUBORG 0.5ML 0% ALCOOL,,,0,0,,1,0,26,,,2,0,,1,0,,5,0,,2,0,37,0,
004004,BERE TUBORG 0.33 0% ALCOOL STICLA,,,0,0,,0,0,0,,,8,0,,0,0,,0,0,,2,0,10,0,
004302,AQUATIQUE APA 0.5L PLATA,,,0,0,,0,0,0,,,-2,0,,0,0,,0,0,,0,0,-2,0,
004518,BERE NEUMARKT 0.5L DZ 3 TIPURI DE HAMEI,,,24,0,,15,4,-1541,,,22,4,,6,4,,7,10,,48,29,-1419,51,
004628,TYMBARK 200ML VISINE-MERE FROZEN,,,16,0,,9,2,81,,,15,0,,0,0,,17,0,,12,1,150,3,
004802,ZIZIN APA 1L PLATA,,,0,0,,1,0,0,,,0,0,,0,0,,0,0,,0,0,1,0,
004979,BORSEC APA 0.75L PLATA,,,0,0,,0,0,0,,,0,0,,0,0,,1,0,,0,0,1,0,
004980,BORSEC APA 0.75L MINERALA,,,0,0,,0,0,0,,,0,0,,0,0,,-3,0,,0,0,-3,0,
005050,CIAO 2L MAR SI ZMEURA,,,2,0,,3,1,0,,,3,0,,0,0,,2,0,,0,2,10,3,
005171,SCHWEPPES 0.5L TONIC WATER,,,0,0,,0,0,0,,,1,0,,0,0,,0,0,,0,0,1,0,
005176,FRUTTIA LIMONADA 500ML,,,0,0,,0,0,0,,,0,0,,0,0,,0,0,,0,0,0,0,
005200,TEDI MOUSSE 100GR PIERSICI,,,9,0,,6,1,20,,,9,0,,0,0,,4,0,,3,0,51,1,
